name,line
Peppa Pig, May I speak to Daddy Pig please?
Mr Rabbit," Someone for you Daddy Pig, it sounds important."
Daddy Pig," Hello, Daddy Pig speaking."
Peppa Pig, HAPPY BIRTHDAY DADDY! Happy birthday.
Daddy Pig, Ho ho thank you Peppa.
Peppa Pig, Don't be late home Daddy.  Bye bye.
Daddy Pig, Bye bye.
Mr Rabbit and Mummy Cat, [blow party horns] Happy birthday Daddy Pig.
Daddy pig, Thank you.
Mummy Pig, There's just one more thing to do before Daddy gets home.
Peppa Pig," Yes,daddy's birthday surprise. Shhhh!  George, remember it's a secret."
George, Shhhhh!
Narrator,  Peppa and George have buckets of water.  Mummy Pig has balloons.  I wonder what Daddy Pig´s surprise can be.
Peppa Pig, Daddy's home.
Mummy," Quick, back to the house."
Narrator, Daddy Pig is home from work.
Peppa Pig, Happy birthday Daddy Pig!
George, [blows party horn]
Daddy Pig," Ho ho thank you everyone.Wow, what a lot of candles."
Peppa Pig, That's because you are very very old daddy.  You must blow out all your candles in one go.
Daddy Pig, I´ll do my best.
Peppa Pig, Hurray!
Mummy, And here's your birthday present.
Daddy," Thank you, new boots. Fantastic. Let's try them out."
Narrator,"  Peppa, George and Mummy Pig are wearing their boots. Daddy Pig is wearing his birthday boots.  Dady Pig has found a little puddle."
Daddy Pig, Let's see if these boots work.
Narrator, The puddle is a bit too little for Daddy Pig.
Daddy Pig,  What I need is a big puddle.
Mummy Pig, Why not try over here Daddy Pig?
Daddy Pig,  Ohh what's this?
Peppa Pig, It's your special birthday surprise.  Shhh!
George, Shhh!
Narrator, What are they up to?
Peppa Pig, A big muddy puddle.
Daddy Pig,  Fantastic! Ho ho ho my birthday boots work perfectly.  Would you care to join me in my birthday muddy puddle?
Narrator,  Daddy Pig loves jumping up and down in muddy puddles.  Everyone loves jumping up and down in muddy puddles.
Daddy Pig,  This is my best birthday ever.
Narrator," Today is Daddy Pigs birthday, Daddy Pig has to go to work."
Peppa Pig, [snort]
Daddy Pig," Hoho, so do I but I'll be home as soon as I can, see you later."
All, See you later.
Mummy Pig," While Daddy Pig is at work, we can get all his birthday surprises ready. '"
Mummy Pig, First we'll make daddy's birthday cake.
Mummy Pig," We start with butter and sugar and flour, then we add an egg. And most important of all, the chocolate bits."
Peppa Pig,  Ooooooh
Narrator," Mummy Pig is making chocolate cake, Daddy Pig loves chocolate cake."
Mummy Pig, Then I give it a stir.
Peppa Pig," Mummy, can I stir?"
Mummy Pig, Yes Peppa.
Narrator, Peppa loves stirring.
Mummy Pig, OK George thats enough stirring
Mummy Pig," There, Daddy Pig's chocolate cake."
Peppa Pig, Hooray.
Mummy Pig, Now we just have to bake it in the oven.
Peppa Pig," Mummy, can I lick the spoon?"
Mummy Pig," Yes, you can lick the spoon and George can lick the bowl."
Peppa Pig, Yippee.
Narrator, Peppa and George love chocolate cake mixture.
Mummy Pig," Poor Daddy Pig, he's missing all the fun."
Peppa Pig," Mummy, can I ring daddy at work and say ""Happy birthday""?"
Mummy Pig, Thats a nice idea.
Narrator, This is the office where Daddy Pig works.
Mr Rabbit," Hello, Mr Rabbit speaking."
Peppa Pig, May I speak to Daddy Pig please?
Mr Rabbit," Someone for you Daddy Pig, it sounds important."
Daddy Pig," Hello, Daddy Pig speaking."
Peppa Pig, HAPPY BIRTHDAY DADDY! Happy birthday.
Daddy Pig, Ho ho thank you Peppa.
Peppa Pig, Don't be late home Daddy.  Bye bye.
Daddy Pig, Bye bye.
Mr Rabbit and Mummy Cat, [blow party horns] Happy birthday Daddy Pig.
Daddy pig, Thank you.
Mummy Pig, There's just one more thing to do before Daddy gets home.
Peppa Pig," Yes,daddy's birthday surprise. Shhhh!  George, remember it's a secret."
George, Shhhhh!
Narrator,  Peppa and George have buckets of water.  Mummy Pig has balloons.  I wonder what Daddy Pig´s surprise can be.
Peppa Pig, Daddy's home.
Mummy," Quick, back to the house."
Narrator, Daddy Pig is home from work.
Peppa Pig, Happy birthday Daddy Pig!
George, [blows party horn]
Daddy Pig," Ho ho thank you everyone.Wow, what a lot of candles."
Peppa Pig, That's because you are very very old daddy.  You must blow out all your candles in one go.
Daddy Pig, I´ll do my best.
Peppa Pig, Hurray!
Mummy, And here's your birthday present.
Daddy," Thank you, new boots. Fantastic. Let's try them out."
Narrator,"  Peppa, George and Mummy Pig are wearing their boots. Daddy Pig is wearing his birthday boots.  Dady Pig has found a little puddle."
Daddy Pig, Let's see if these boots work.
Narrator, The puddle is a bit too little for Daddy Pig.
Daddy Pig,  What I need is a big puddle.
Mummy Pig, Why not try over here Daddy Pig?
Daddy Pig,  Ohh what's this?
Peppa Pig, It's your special birthday surprise.  Shhh!
George, Shhh!
Narrator, What are they up to?
Peppa Pig, A big muddy puddle.
Daddy Pig,  Fantastic! Ho ho ho my birthday boots work perfectly.  Would you care to join me in my birthday muddy puddle?
Narrator,  Daddy Pig loves jumping up and down in muddy puddles.  Everyone loves jumping up and down in muddy puddles.
Daddy Pig,  This is my best birthday ever.
Narrator, Peppa and George are playing hide and seek. It is George's turn to hide. He must quickly find some place to hide before Peppa finishes counting.
Peppa Pig,[closes her eyes] 1....2....3....4....5....6
Narrator," George has found some where to hide, just in time."
Peppa Pig," 8...9...10. [opens here eyes] Ready or not, here i come."
Narrator, Peppa has to find where George is hiding.
Peppa Pig,[tags him] Found you.
Narrator, Peppa has found George.
Peppa Pig," George, i could see you too easily."
Narrator, Now it is Peppa's turn to hide.
George," [closes his eyes,trying to count] 1... um... 3"
Mommy,"[while reading a book] I'll help George to count. 1...2...3...4...5.[while Mommy Pig is counting, Peppa starts looking for a place to hide. She runs upstairs and into her and George's room. She empties all the toys from her toy bin and hides in the basket.] ..6...7...8...9...10"
Mommy," Ok George, open your eyes."
Narrator, George has to find where Peppa is hiding.
George, oh....
Narrator, Peppa isn't hiding under the table
Daddy," [Whispering] George, have you thought of looking upstairs?"
Narrator, Peppa isn't under the bed.
Narrator, What was that strange noise?
Narrator, Peppa isn't behind the curtain.
Narrator," There is that strange noise again, what can it be?"
Peppa Pig, Weee!!
Narrator, George has found where Peppa is hiding.
Peppa Pig, George found me! Now it's Daddy's turn to hide.
Daddy, oh i think George should have another turn.
Peppa Pig, But George isn't very good at hiding.
Daddy, I'm sure he'll be better this time. Close your eyes and start counting.
Peppa Pig, [closes her eyes and starts counting again] 1...2...
Narrator," Oh Dear, Peppa will easily find George."
Peppa Pig, 3...4...5....
Daddy," [Whispering to George] George, come over here."
Peppa Pig, 8...9...10. [opens her eyes] Ready or not here i come!
Peppa Pig, Oh? George isn't hiding under the table. but George always hides under the table.
Daddy, have you thought of looking upstairs?
Peppa Pig, I know where he is! [Peppa runs upstairs and into her room and starts to look in the toy basket she hid in] George is in the toy basket.
Peppa Pig, Oh.
Narrator, George is not in the toy basket. Where can he be?
Narrator, Peppa cannot find George anywhere.
Peppa Pig," Daddy, I can't find George anywhere."
Daddy," Oh dear, i wonder where he can be."
Daddy," Actually, I think there's something about George in this newspaper."
Peppa Pig, George! Found you! [tags George]
Mommy," Oh George, that was a good place to hide."
Narrator, George was hiding behind Daddy Pig's Newspaper all the time. 
Suzy Sheep," Don't worry, mommy, we can look after the house while you're away."
Mummy Sheep," That's a very kind of you, Suzy. We have a special babysitter coming."
ALL, Hello
Suzy Sheep, Time for a tea
Suzy Sheep, No football In the house
Narrator, Peppa and her friends are at playgroup. They are dressed up in costumes from different countries.
Madame Gazelle, Today is International Day! When we celebrate all the countries of the world.
Narrator, Peppa is dressed as France.
France, I'm France!
Narrator, George is Russia.
Narrator, Pedro is America.
America, Ye-haw!
Narrator, Zoë is Japan.
Japan, Konichiwa!
Narrator, Suzy is Holland.
Holland, Hallo! That's Dutch for hello!
Holland," Madame Gazelle,What do all the countries of the world do?"
Madame Gazelle, They sing the song of Harmony together!
All, Hooray!
France, I like singing!
Holland, So do I!
Madame Gazelle, Does everyone remember the words?
All," Yes, Madame Gazelle"
All," (singing) Peace and Harmony in all the world, Peace and Harmony in all the world, Peace and Harmony in all the world, Peace and Harmony."
Madame Gazelle," Lovely! and later, We will sing that for your mommies & daddies"
Narrator, It is playtime.
Madame Gazelle," Enjoy yourselves, Play nicely together!"
Narrator, United Kingdom is on the slide.
United Kingdom, Whee!
Narrator, France and Switzerland are on the swings. Germany is playing hopscotch.
Germany," 1, 2, 3..."
Narrator," America, Russia, Spain and Greece are on the sandpit. Here are Holland and Japan."
America, I'm building a big sandcastle. Yeehaw!
Holland, (clears throat) Now it's our turn in the sandpit.
America, Why?
Holland, Because you've had your turn. You can play on the slide now.
America, But we want to play here!
Greece, (They're all crying.)
Narrator," Oh, dear. There is not enough room in the sandpit for more than 4 countries."
South Africa, What's going on?
Holland, It's our turn to play in the sandpit!
America, But we are here first?
France, Is Suzy being a bit bossy?!
Holland, George started it!
France," Leave George alone, he's only little!"
United Kingdom," (He blows a whistle.) Ello, Ello, Ello, what's all this noise about then?!"
America, They're trying to push us out of the sandpit!
Holland, No We're not!
France, Yes you are!
Holland, George started it!
All, (They're yelling cause they're arguing.)
Narrator," Oh dear, the countries of the world are not playing nicely together!"
Madame Gazelle," (singing.) Peace and harmony in all the... (She stopped singing.) w-what?! What's all that noise?! (She opens the door & hears the gang arguing.) Oh no, the countries are fighting!"
Holland, You can't play in the sandpit!
America, Yes we can!
Mexico, It's not fair!
Switzerland, Stop arguing!
France," Suzy, You're always telling people what to do!"
Holland, No i am not!
Madame Gazelle, Children! Children! What is happening?
Holland," America, Russia, Spain, and Greece won't share the sandpit!"
France, Holland is being bossy!
Holland, You're the bossy one!
Madame Gazelle, That is enough! Is this how you think the countries of the world behave?!
France," Um, don't they?"
Madame Gazelle, Of course not!
All," Sorry, Madame Gazelle."
Narrator, Mr. Zebra the postman is delivering a letter to Peppa's house.
Mummy Pig," Ooh, look! Someone's got a party invitation. [She picks up the invitation. Peppa and George run to her.]"
Peppa Pig, (Snort!) It must be for me!
Mummy Pig," It says: ""To George Pig from Edmond Elephant. Please come to my party."""
Peppa Pig, Doesn't it say George and Peppa?
Mummy Pig," No, Just George."
Peppa Pig," Hmph, I didn't want to go to a silly baby party anyway."
Mummy Pig," Hello? Oh, it's for you, Peppa, it's Emily Elephant. (She hands the phone to Peppa.)"
Peppa Pig, Hello.
Emily, Hello Peppa! Do you want to come to Edmond's party as my friend?
Peppa Pig," Oh, Goody! [She puts the phone down.]"
Narrator, Everyone is here for Edmond Elephant's Party.
Mummy Elephant," Oh, the helpers are here."
Peppa Pig," Hello, Mrs. Elephant!"
Mummy Elephant, Let's get this party started!
Mummy Elephant, Who wants to play Musical Statues!
Toddlers, Yay!
Peppa Pig," This is what you do. [Danny puts on the Music Player, which plays ""Head, Shoulders, Knees and Toes"".] Dance when the music is playing and when it stops [Danny stops the Music Player], freeze like a statue."
Danny," Ready, Steady Go!"
Peppa Pig, Just dance already! [The Toddlers start dancing and giggling. Danny then turns off the music.]
Peppa Pig," You're moving, George, get out! [George cries and ran away. Richard squeaks.]"
Suzy," Richard and Edmond, get out. [Both of them cry and ran away.]"
Emily, So Zaza is the Winner! [She puts the medal on Zaza.]
Zaza, Hooray!
Danny, You got a medal!
Suzy, It's made of real plastic gold! [Zaza Laughs. The other toddlers start crying.]
Emily, Musical Statues is finished.
Mummy Elephant, Lovely.
Danny," When the music plays, pass the parcel round."
Peppa Pig," When the music stops, take some paper off."
Suzy," Ready, Steady, Go!"
Peppa Pig," George, pass the parcel!"
Narrator, Edmond has got a medal. [He puts the medal on himself and giggles.]
Peppa Pig," Hurry up, Richard."
Danny, Just take the paper off.
Narrator, Richard has got a medal. [Richard puts the medal on himself and giggles.]
Narrator," George has got a medal. [George puts the Medal on himself, then he snorts and giggles.]"
Suzy, Pass the Parcel! [George and Zuzu continue to fight over the Parcel.]
Narrator," Oh, Dear, George isn't passing the parcel!"
Peppa Pig," [looks cross] No, George! That's Zaza's* medal!"
Peppa Pig, It's a giant teddy!
Narrator, Edmond has won.
Emily," Mummy, Pass the Parcel is finished."
Mummy Elephant," Urm, Lovely. Now it's time for food."
Peppa Pig," Hooray! [As the others run into the kitchen. The toddlers follow, and are surprised to see the bigger kids have their spots.]"
Narrator," Oh, the helpers have taken all the seats. [All the toddlers cry.]"
Peppa Pig," Oh, Yes!"
Peppa Pig, We're the helpers!
George," Juice, Please!"
Richard," Juice, Please!"
Edmond," Juice, Please!"
Zuzu or Zaza," Jelly, Please!"
Zuzu or Zaza, Jelly! Jelly!
Richard," More, Please! [Danny looks at the viewers in embarrassment. Mummy Elephant appears holding a Birthday Cake, the lights are dimmed.]"
Mummy Elephant," Happy Birthday, Edmond."
Narrator, It is the end of the party.
Mummy Elephant," Thank you to the helpers, you all worked really hard. [All the older kids are tired out.]"
Peppa Pig," Yes, it's not easy looking after little children."
Suzy, (Sighs) I need to lie down!
Danny, I need a holiday!
Fun Fact, Peppa refers to Zuzu as Zaza. The reason why it’s displayed as Zaza already got a medal and Zuzu didn’t. Both twins are identical.)
Narrator, Peppa and George have been sailing with Granny and Grandpa Pig.
Narrator," It is a rainy day, and the school roof has a hole in it."
Madame Gazelle, Children! We are going to have a jumble sale. The money we raise will pay for a new school roof.
The Children, Hurrah!
Madame Gazelle, Everyone has to bring something for the jumble sale.
Peppa Pig, What should we bring?
Madame Gazelle, You can bring an old toy or something you don't use any more.
Narrator, The parents come to pick up the children.
Madame Gazelle, Home time! Don't forget your old toys for the jumble sale tommorrow.
Transcript, Peppa's house)
Narrator, Peppa is choosing a toy for the jumble sale.
Daddy Pig," Peppa, have you decided?"
Peppa Pig, Erm.......
Daddy Pig, You only have to choose one toy.
Mummy Pig," Yes, and it will help pay for a new school roof."
Peppa Pig, Okay. I'm going to give Mr. Dinosaur.
George, (He's crying.)
Narrator, Mr. Dinosaur is George's Favorite Toy!
Mummy Pig, Peppa! You can't give away Mr. Dinosaur.
Peppa Pig, Can't I?
 Daddy Pig, No.
Peppa Pig," Oh bother! Sorry, George."
George, Dinosaur!
Daddy Pig, Why don't you give your old jack-in-a-box.
Peppa Pig," Ok. Now, it's your turn, Daddy."
Daddy Pig, What?
Peppa Pig, We must all give something to the jumble sale.
Mummy Pig, I'm giving this hat and George is giving this ball.
Peppa Pig," So what shall Daddy give? I know, The television!"
Daddy Pig, Not the Telly!
Peppa Pig," No! It's too useful. Erm, I know! Daddy's smelly slippers. No! Too smelly. I know! Daddy's old chair."
Daddy Pig, But that's an antique.
Peppa Pig, What does antique mean?
Daddy Pig, Antique means it's very old and valuable.
Mummy Pig," But you found it on a rubbish tip, Daddy Pig. It's worthless"
Daddy Pig, It'll be worth a lots of money when i mend it.
Mummy Pig," You've been saying that for ages, Daddy Pig."
Daddy Pig, I know. I'll give these lovely socks that Granny Pig made me.
Peppa Pig, Good!
Transcript," School, outside)"
Madame Gazelle, I've come to collect your things for the jumble sale.
Peppa Pig, Here they are.
Madame Gazelle, Thank you!
Mummy Pig, And would you like this old chair?
Madame Gazelle," Oh, most generous! Goodbye."
Peppa Pig, Bye! Bye!
Peppa Pig," Mummy, you gave away Daddy's Chair!"
Mummy Pig, Shh! Don't tell him. He'll never notice.
Narrator, It is the day of the jumble sale.
Miss Rabbit, Hello!
Peppa Pig," Hello, Miss Rabbit."
Miss Rabbit," Peppa, how about this chair? It's a bit rubbish but you can chop it up for firewood."
Peppa Pig, But it's an antique.
Miss Rabbit, Is it?
Peppa Pig, Daddy said it's worth lots of money.
Miss Rabbit," Well, I never. i'd better put the price up."
Peppa Pig," Bye. (Last Day after the Jumble Sale...) Hello, everyone!"
All," Hello, Peppa!"
Peppa Pig," What did you give, Suzy?"
Suzy, I'm gave my nurse's outfit.
Pedro, I'm gave my parrot balloon.
Zoe," I'm gave my toy monkey! Ooo, ooo, ooo!"
Peppa Pig," Oh, I will miss my Jack in a box! Can i buy this Jack-in-a-box, please?"
Suzy, And I'd like this nurse's outfit.
Pedro, The parrot balloon please.
Peppa Pig," Mummy, Mummy, look what we've bought."
Mummy Pig, All your old toys!
Suzy, We missed them.
Daddy Pig, Look what I've bought! It's an antique chair!
Mama Pig," Oh, Daddy Pig! that's not an antique chair."
Daddy Pig, It is! Miss Rabbit just said so. And it matches my old one.
Peppa Pig," Yes, Daddy, that's because-"
Mummy Pig, Shh! Peppa!
Peppa Pig, it is your old chair.
Daddy Pig, What? But Miss Rabbit has just charged me lots of money for it!
Madame Gazelle," Fantastic news, everybody! We have just raised all the money we need for a new school roof."
All, Hurrah!
Madame Gazelle," Thank you, Daddy Pig."
Daddy Pig, You're most welcome.
Narrator," It is a rainy day, and the school roof has a hole in it."
Madame Gazelle, Children! We are going to have a jumble sale. The money we raise will pay for a new school roof.
The Children, Hurrah!
Madame Gazelle, Everyone has to bring something for the jumble sale.
Peppa Pig, What should we bring?
Madame Gazelle, You can bring an old toy or something you don't use any more.
Narrator, The parents come to pick up the children.
Madame Gazelle, Home time! Don't forget your old toys for the jumble sale tommorrow.
Transcript, Peppa's house)
Narrator, Peppa is choosing a toy for the jumble sale.
Daddy Pig," Peppa, have you decided?"
Peppa Pig, Erm.......
Daddy Pig, You only have to choose one toy.
Mummy Pig," Yes, and it will help pay for a new school roof."
Peppa Pig, Okay. I'm going to give Mr. Dinosaur.
George, (He's crying.)
Narrator, Mr. Dinosaur is George's Favorite Toy!
Mummy Pig, Peppa! You can't give away Mr. Dinosaur.
Peppa Pig, Can't I?
 Daddy Pig, No.
Peppa Pig," Oh bother! Sorry, George."
George, Dinosaur!
Daddy Pig, Why don't you give your old jack-in-a-box.
Peppa Pig," Ok. Now, it's your turn, Daddy."
Daddy Pig, What?
Peppa Pig, We must all give something to the jumble sale.
Mummy Pig, I'm giving this hat and George is giving this ball.
Peppa Pig," So what shall Daddy give? I know, The television!"
Daddy Pig, Not the Telly!
Peppa Pig," No! It's too useful. Erm, I know! Daddy's smelly slippers. No! Too smelly. I know! Daddy's old chair."
Daddy Pig, But that's an antique.
Peppa Pig, What does antique mean?
Daddy Pig, Antique means it's very old and valuable.
Mummy Pig," But you found it on a rubbish tip, Daddy Pig. It's worthless"
Daddy Pig, It'll be worth a lots of money when i mend it.
Mummy Pig," You've been saying that for ages, Daddy Pig."
Daddy Pig, I know. I'll give these lovely socks that Granny Pig made me.
Peppa Pig, Good!
Transcript," School, outside)"
Madame Gazelle, I've come to collect your things for the jumble sale.
Peppa Pig, Here they are.
Madame Gazelle, Thank you!
Mummy Pig, And would you like this old chair?
Madame Gazelle," Oh, most generous! Goodbye."
Peppa Pig, Bye! Bye!
Peppa Pig," Mummy, you gave away Daddy's Chair!"
Mummy Pig, Shh! Don't tell him. He'll never notice.
Narrator, It is the day of the jumble sale.
Miss Rabbit, Hello!
Peppa Pig," Hello, Miss Rabbit."
Miss Rabbit," Peppa, how about this chair? It's a bit rubbish but you can chop it up for firewood."
Peppa Pig, But it's an antique.
Miss Rabbit, Is it?
Peppa Pig, Daddy said it's worth lots of money.
Miss Rabbit," Well, I never. i'd better put the price up."
Peppa Pig," Bye. (Last Day after the Jumble Sale...) Hello, everyone!"
All," Hello, Peppa!"
Peppa Pig," What did you give, Suzy?"
Suzy, I'm gave my nurse's outfit.
Pedro, I'm gave my parrot balloon.
Zoe," I'm gave my toy monkey! Ooo, ooo, ooo!"
Peppa Pig," Oh, I will miss my Jack in a box! Can i buy this Jack-in-a-box, please?"
Suzy, And I'd like this nurse's outfit.
Pedro, The parrot balloon please.
Peppa Pig," Mummy, Mummy, look what we've bought."
Mummy Pig, All your old toys!
Suzy, We missed them.
Daddy Pig, Look what I've bought! It's an antique chair!
Mama Pig," Oh, Daddy Pig! that's not an antique chair."
Daddy Pig, It is! Miss Rabbit just said so. And it matches my old one.
Peppa Pig," Yes, Daddy, that's because-"
Mummy Pig, Shh! Peppa!
Peppa Pig, it is your old chair.
Daddy Pig, What? But Miss Rabbit has just charged me lots of money for it!
Madame Gazelle," Fantastic news, everybody! We have just raised all the money we need for a new school roof."
All, Hurrah!
Madame Gazelle," Thank you, Daddy Pig."
Daddy Pig, You're most welcome.
Narrator, It is a lovely sunny day.
Narrator, Mr. and Mrs. Kangaroo have come to visit.
Narrator," Today, Peppa and His Friends Have Come to the Little Cars Play Center"
Narrator, Peppa and her playgroup are visiting London for the day.
Madame Gazelle," Children, this is London!"
Peppa Pig, Wow! It's so busy!
Madame Gazelle, There's so much to see! I just can't decide where to go first!
Miss Rabbit, My friend the Queen lives in London. Maybe she can help.
Narrator, This is the palace where the Queen lives.
The Queen, Hello?
Miss Rabbit," Please, can I speak to the Queen?"
The Queen, I am the Queen. Who are you?
Miss Rabbit," It's Miss Rabbit. You said if I was ever London, I shoul drop in to see you."
The Queen," Ah, Miss Rabbit! Come in! Come in!"
The Queen," Hello, everyone!"
Children," Hello, Queen!"
Peppa Pig, We're visiting London for the day!
Miss Rabbit, We were hoping you could tell us the best places to see.
The Queen," I can do better than that! After all, London is my city. I'll give you a guided tour myself."
Children, Horray!
The Queen, The best way to see London is on a double-decker bus.
All, Ooh!
The Queen," Mr. Driver, please may we borrow your bus?"
 Driver, Borrow my bus? You must be joking!
The Queen, No. I am your Queen.
 Driver," In that case, Your Majesty, take it!"
Narrator," If the Queen asks you to do something, you must do it!"
 Driver, Everyone up to the top deck!
Peppa Pig, The bus has stairs in it!
Narrator, The double-decker bus has seats at the top!
The Queen," I am the Queen and I will be your tour guide today. First stop, Big Ben. (The scene then cuts to A tall clock tower.) This tall clock tower is called Big Ben."
Edmond Elephant," Actually, Big Ben is the bell not the tower."
The Queen, You know a lot for a little elephant.
Edmond Elephant, I'm a clever clogs.
The Queen, Oh.
Danny Dog, That was loud!
The Queen," That is the sound of Big Ben telling us the time. It rang three times, so it is 3:00."
Wendy Wolf," If it rang six times, would that make it 6:00?"
The Queen," Yes, it would."
Pedro Pony, And if it rang 100 times?
The Queen," Then it would be broken. On with the tour! Next stop, Tower Bridge! We need to cross the bridge to continue the tour."
Police Officer Squirrel, Stop! You can't cross!
Peppa Pig, Look! There's a big ship! It's going to bang into the bridge!
Peppa Pig, The bridge is lifting up!
All, Wow!
Narrator, Tower Bridge lifs to let tall ships sail through.
The Queen," Good. Now the ship has passed, we can be on our way. Please lower the bridge."
Police Officer Squirrel," I'm sorry, Your Majesty, but there's another ship coming."
The Queen," This is really too much. We can't wait around all day. Hold tight, everyone!"
All, Whee!
Narrator, The bus is balancing on the bridge.
Miss Rabbit," Now, what do we do?"
The Queen," Hang on a minute, lads, I've got a great idea. Everybody move to the front of the bus."
All, Okay!
Children, Horray!
Narrator, The Queen is good at driving buses.
The Queen," Are you enjoying your tour, children?"
Children, Yes!
Peppa Pig, Open-top buses are the best!
Pedro Pony, Why aren't all buses open like this one!
Narrator, It is raining.
Pedro Pony," Ah, yes, that's why all buses aren't open like this one."
Madame Gazelle," Children, open your umbrellas."
Narrator, It is very important to take an umbrella when you visit London.
The Queen," Next stop, Trafalgar Square. Oh, dear what a shame! Trafalgar Square is full of puddles!"
Peppa Pig, But we love puddles!
Peppa Pig," Come on, having a splash, Your Majesty!"
The Queen, It does look rather fun and one is wearing one's boots. Whee!
Narrator, The Queen loves jumping in London puddles. Everybody loves jumping in London puddles!
Daddy Pig, I wonder what this button this for!
ALL, (laughing)
Narrator, Peppa and Her Family Are in the Kitchen
Narrator, Mummy Pig is Making an Apple-pie
Narrator, Peppa and Her Family Are in the Kitchen
Narrator, Mummy Pig is Making an Apple-pie
Narrator, Peppa and George have come to Granny Pig and Grandpa Pig’s house for lunch.
Peppa Pig, Granny Pig!
George Pig, Ganky ‘ig!
Granny Pig," Hello, my little ones. Would you like to pick some vegetables from the garden for lunch?"
Peppa Pig," Yes, please."
Peppa Pig, Grandpa Pig!
George Pig, Papa ‘ig!
Grandpa Pig," Hello, Peppa, George."
Narrator, This is Grandpa Pig’s vegetable garden. He has grown all these vegetables himself.
George Pig, Grr.
Grandpa Pig, What’s this?
George Pig, Dinosaur.
Grandpa Pig," A dinosaur? Let’s choose some vegetables for lunch. Peppa, do you like tomatoes?"
Peppa Pig," Yes, Grandpa Pig."
Grandpa Pig," George, do you like tomatoes?"
George Pig, No.
Peppa Pig, George does not like tomatoes.
Grandpa Pig," Oh, dear."
Grandpa Pig, Do you both like lettuce?
Peppa Pig," Yes, Grandpa Pig."
George Pig, No.
Peppa Pig, George does not like lettuce.
Grandpa Pig," Oh, dear. I must have something that George likes."
Grandpa Pig, Do you like cucumber?
George Pig, Yuck!
Narrator, George does not like cucumbers. And he does not like lettuce. And he does not like tomatoes.
Grandpa Pig," Well, George, what vegetable do you like?"
George Pig, Chocolate cake.
Peppa Pig, Silly George. Chocolate cake isn’t a vegetable.
Grandpa Pig, Maybe George will like the vegetables when they’re made into a lovely salad.
Granny Pig," Oh, lovely fresh tomatoes, lettuce and cucumber."
Granny Pig," First, we have to wash them."
Narrator, Peppa and George help Granny Pig wash the vegetables.
Granny Pig, Maybe that’s enough washing.
Narrator," Granny Pig has made the tomatoes, lettuce and cucumber into a salad."
Granny Pig," Grandpa Pig, can you call everyone to lunch"
Grandpa Pig, Lunch!
Narrator, Granny Pig has made pizza for lunch.
Granny Pig," And here’s some salad made with Grandpa’s tomatoes, lettuce and cucumber."
Grandpa Pig," Tuck in, everyone!"
Narrator," George has eaten his pizza. But George does not like the tomatoes, or the lettuce, or the cucumber."
Granny Pig," Oh, dear, George! Don't you like the salad?"
George Pig, No.
Mommy Pig," George, just try a little bit of this lovely tomato."
George Pig, Yuck!
Granny Pig," George!, this is cucumber. Grandpa Pig grew it in his garden."
George Pig, Ughh!
Daddy Pig," Try a piece of lettuce, George. It's yummy!"
George Pig, [Crying]
Grandpa Pig," Oh, now, now, George."
Grandpa Pig, Look what I'm doing.
Grandpa Pig, Now it’s a dinosaur.
George Pig," Dinosaur, grr."
Narrator," George loves dinosaurs. George is eating the tomatoes, lettuce and cucumber."
Mummy Pig," Well done, George."
Granny Pig," Would you like some more, George?"
George Pig, Full.
Grandpa Pig," George, are you too full to eat any more tomatoes, lettuce or cucumber?"
George Pig," [Oink, and nods]"
George Pig, Chocolate cake!
Grandpa Pig, My word! George seems to have got his appetite back.
Narrator, Peppa and her friends are at playgroup.
Madame Gazelle, Hello!
Narrator," Today, Peppa and Her Friends Are at Playgroup"
Narrator, Mr. Bull is Cutting the Grass
Madame Gazelle," Good Morning, Children!"
ALL," Good Morning, Madame Gazelle!"
Narrator, Mr. Bull is fixing the floor.
Narrator, Peppa and her family are watching Mr Potato on television.
Daddy Pig, I love watching programmers about keeping it.
Narrator, Peppa and George are playing in the garden.
Peppa Pig," To me, George."
Peppa Pig," You threw the ball too hard, George. So the rules say I win."
Peppa Pig, Now it’s my turn.
Peppa Pig, I win again.
Mummy Pig," Peppa, George, today your big cousin Chloé is coming to visit."
Peppa Pig," Yipee, cousin Chloé!"
Peppa Pig," George, Chloé’s a big girl like me. So don’t be sad if she finds you too little to play with."
Daddy Pig, I’m sure Chloé will play with both of you.
Peppa Pig, Chloé’s here.
Narrator, Auntie Pig has brought Chloé to spend the day at Peppa’s house. Chloé is Peppa and George’s cousin.
Narrator, Chloé is a bit older than Peppa and George.
Peppa Pig," Hello, Chloé."
Daddy Pig, See you later.
Peppa Pig," Yes, let’s play catch."
Narrator, Peppa loves playing catch.
Peppa Pig, Oh. We only play catch because George likes it.
Peppa Pig, Proper rules.
Narrator, Peppa is it. She has to chase Chloé and George.
Peppa Pig," George, I’m going to easily catch you. You’re so little."
Peppa Pig, That’s not fair. You’re helping George.
Peppa Pig, No. I don’t need help. I’m a big girl like you.
Peppa Pig, This is a silly game. Can we play something else?
Peppa Pig, Sly Fox! I want to play Sly Fox. What is it?
Peppa Pig," Me, me! I want to be the sly fox."
Narrator," Peppa is the sly fox. While her back is turned, the others creep up on her. But if Peppa turns and sees someone move, they have to go back to the start."
Peppa Pig," George, I saw you move. Back to the start."
